"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comdrogas.1","comtabagis.0","comtabagis.1","escol4.0","escol4.1","fxet3.1","hiv3.0","hiv3.2","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"48",48,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"encerra2=0",26,1.33038961038961,0.866666666666667,0.0439932318104907,25,1.22522597230284,0.806451612903226,0.0423011844331641
"49",49,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",40,1.33483907396951,0.869565217391304,0.0676818950930626,44,1.21542416452442,0.8,0.0744500846023689
"50",50,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",42,1.23986013986014,0.807692307692308,0.0710659898477157,39,1.2606793195865,0.829787234042553,0.065989847715736
"51",51,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",29,1.43602848764139,0.935483870967742,0.0490693739424704,26,1.36211328782909,0.896551724137931,0.0439932318104907
"52",52,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"encerra2=0",38,1.32573789846517,0.863636363636364,0.0642978003384095,43,1.20979720079977,0.796296296296296,0.0727580372250423
"54",54,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"encerra2=0",43,1.17871057513915,0.767857142857143,0.0727580372250423,39,1.18503856041131,0.78,0.065989847715736
"55",55,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",41,1.2340718105424,0.803921568627451,0.0693739424703892,38,1.2550575611937,0.826086956521739,0.0642978003384095
"56",56,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"encerra2=0",26,1.42541743970315,0.928571428571429,0.0439932318104907,24,1.35047129391602,0.888888888888889,0.0406091370558376
"57",57,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"encerra2=0",81,1.2434025974026,0.81,0.137055837563452,82,1.19789400830532,0.788461538461538,0.138747884940778
"58",58,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"encerra2=0",39,1.33038961038961,0.866666666666667,0.065989847715736,44,1.21542416452442,0.8,0.0744500846023689
